loan_account_no,product_description,loan_origination_date,bureau_score,down_payment_amount,branch_name,res_years_at_current_city,res_years_at_current_address,interest_rate,loan_asset_cost,gender,channel,age,number_of_installments,res_city,res_province,total_income,asset_model,industry,nature_of_business,marital_status,manufacturer,occupation_type,res_resident_status,years_in_occupation,has_existing_loan,number_of_dependents,days_past_due,label_determination_date,label_is_mature,TARGET
PH12739971450084302349,Motorcycle Loan,2026-04-06,-1,6500,Cubao QC,16,11,17.37,49480,Male,DIRECT,22,24,Quezon City,Metro Manila,8402,DLX 110,Transport,Services,Single,Rusi,Tricycle/Jeepney Driver,Living with Parents,2,No,2,137,2026-07-27,False,1
PH13786010839744442507,Motorcycle Loan,2026-02-09,752,25000,Cebu City,15,0,16.16,125448,Male,DEALER,56,24,Cebu City,Cebu,27580,NMAX 155,Manufacturing,Manufacturing,Married,Yamaha,Other Self Employed,Owned,9,No,3,15,2026-08-17,False,0
PH17829721183418625659,Motorcycle Loan,2024-12-13,622,21500,Iloilo,5,4,20.44,114808,Female,DEALER,25,24,Iloilo City,Iloilo,23223,Mio i 125,Retail,Trading,Live-in,Yamaha,Sari-sari Store Owner,Owned,1,No,6,6,2025-05-05,True,0
PH17727598957109913986,Motorcycle Loan,2026-06-01,-1,9500,General Santos,22,9,21.25,61025,Male,ONLINE,57,18,General Santos,South Cotabato,30091,NMAX 155,Remittance-dependent,Services,Married,Yamaha,OFW Dependent,Rented,6,Yes,0,7,2026-11-17,False,0
PH18148856897955661839,Motorcycle Loan,2026-03-15,-1,17500,General Santos,22,3,21.11,97734,Male,DEALER,27,18,General Santos,South Cotabato,14449,DLX 110,Construction,Services,Married,Rusi,Construction Worker,Living with Parents,9,No,0,2,2026-08-20,False,0
PH16239890479636058237,Motorcycle Loan,2025-10-10,-1,26000,Cebu City,14,9,12.05,143731,Male,ONLINE,27,24,Cebu City,Cebu,12870,Click 125i,Transport,Services,Live-in,Honda,Tricycle/Jeepney Driver,Rented,8,No,3,3,2026-03-22,True,0
PH13684019189610408215,Motorcycle Loan,2025-06-30,725,22000,Caloocan,13,7,18.34,115758,Male,DEALER,23,24,Caloocan,Metro Manila,14832,CT100,Construction,Services,Married,Kawasaki,Construction Worker,Owned,4,Yes,3,1,2025-12-10,True,0
PH15976536773982826342,Motorcycle Loan,2025-07-21,-1,9500,Cebu City,26,2,15.63,50821,Female,DEALER,19,24,Cebu City,Cebu,12106,Sniper 150,Transport,Services,Single,Yamaha,Tricycle/Jeepney Driver,Rented,0,Yes,0,153,2025-10-30,True,1
PH16347869024201769232,Motorcycle Loan,2024-09-19,751,15000,General Santos,5,4,15.7,79564,Male,DEALER,57,24,General Santos,South Cotabato,16471,Raider R150,Transport,Services,Married,Suzuki,Tricycle/Jeepney Driver,Rented,19,No,2,8,2025-03-11,True,0
PH16714482594113360581,Motorcycle Loan,2025-02-14,556,17500,Cebu City,25,4,23.89,91719,Female,DEALER,47,12,Cebu City,Cebu,36942,DLX 110,Remittance-dependent,Services,Single,Rusi,OFW Dependent,Living with Parents,4,No,2,179,2025-07-05,True,1
PH10807450161484256997,Motorcycle Loan,2025-07-10,-1,18500,Quiapo Manila,4,2,16.57,93704,Female,DEALER,33,24,Manila,Metro Manila,13447,Click 125i,Construction,Services,Widowed/Separated,Honda,Construction Worker,Owned,12,Yes,4,247,2025-11-29,True,1
PH18049400286583324496,Motorcycle Loan,2024-07-06,-1,15500,Iloilo,30,0,19.42,89847,Male,DIRECT,35,36,Iloilo City,Iloilo,10015,Skydrive 125,Transport,Services,Married,Suzuki,Tricycle/Jeepney Driver,Living with Parents,8,Yes,6,139,2024-10-30,True,1
PH15696719559018735141,Motorcycle Loan,2024-09-30,739,17500,Quiapo Manila,17,5,16.24,106901,Male,DEALER,35,24,Manila,Metro Manila,18280,ADV 160,Construction,Services,Single,Honda,Construction Worker,Living with Parents,6,No,1,4,2025-04-19,True,0
PH14755312554550547859,Motorcycle Loan,2025-03-09,-1,8000,Cubao QC,26,16,16.59,57262,Male,DEALER,52,18,Quezon City,Metro Manila,20168,CT100,Retail,Trading,Married,Kawasaki,Sari-sari Store Owner,Living with Parents,14,Yes,3,4,2025-09-26,True,0
PH19212868579826816473,Motorcycle Loan,2026-02-19,729,9000,Cubao QC,23,16,19.3,67855,Male,DEALER,50,36,Quezon City,Metro Manila,36119,Click 125i,Remittance-dependent,Services,Married,Honda,OFW Dependent,Living with Parents,18,No,5,10,2026-06-24,False,0
PH18675456874670761152,Motorcycle Loan,2026-04-19,624,26500,Quiapo Manila,16,10,15.36,153506,Male,DEALER,55,24,Manila,Metro Manila,16791,Click 125i,Transport,Services,Single,Honda,Tricycle/Jeepney Driver,Owned,20,Yes,4,133,2026-07-29,False,1
PH14639593505519985611,Motorcycle Loan,2024-09-08,699,12500,Cagayan de Oro,5,4,15.42,121213,Male,DIRECT,49,24,Cagayan de Oro,Misamis Oriental,39496,Barako II 175,Manufacturing,Manufacturing,Single,Kawasaki,Employed,Owned,2,No,1,4,2025-03-10,True,0
PH16634971053926739517,Motorcycle Loan,2024-09-23,670,16000,Cubao QC,18,10,12.51,95435,Female,DEALER,36,12,Quezon City,Metro Manila,15955,Flash 115,Construction,Services,Single,Rusi,Construction Worker,Owned,9,Yes,3,15,2025-03-30,True,0
PH13131878302607874838,Motorcycle Loan,2026-03-03,646,23000,General Santos,10,4,16.03,146381,Female,ONLINE,30,24,General Santos,South Cotabato,8017,NMAX 155,Transport,Services,Married,Yamaha,Tricycle/Jeepney Driver,Owned,1,No,0,2,2026-07-30,False,0
PH14509676809821543379,Motorcycle Loan,2024-10-18,576,5000,Cebu City,13,13,12.59,45496,Male,DEALER,27,36,Cebu City,Cebu,30085,Click 125i,BPO,Services,Married,Honda,Employed,Owned,5,Yes,0,5,2025-03-24,True,0
PH16562382165256500851,Motorcycle Loan,2025-12-11,-1,6000,Davao,14,1,15.37,50101,Male,DEALER,36,36,Davao City,Davao del Sur,15964,Mio Aerox,Construction,Services,Single,Yamaha,Construction Worker,Living with Parents,6,Yes,2,3,2026-07-04,False,0
PH16403872180861414641,Motorcycle Loan,2025-10-31,754,7500,Davao,23,0,21.84,52664,Male,DEALER,57,24,Davao City,Davao del Sur,10383,Beat 110,Transport,Services,Married,Honda,Tricycle/Jeepney Driver,Living with Parents,15,Yes,2,10,2026-03-18,True,0
PH17747623635112962239,Motorcycle Loan,2025-05-08,563,24500,Quiapo Manila,22,11,21.14,157558,Male,DEALER,22,18,Manila,Metro Manila,21797,NMAX 155,Construction,Services,Single,Yamaha,Construction Worker,Owned,2,No,5,0,2025-09-09,True,0
PH19723919828652625742,Motorcycle Loan,2024-11-23,770,23000,General Santos,2,1,12.4,157482,Male,DEALER,48,24,General Santos,South Cotabato,13057,Beat 110,Construction,Services,Live-in,Honda,Construction Worker,Rented,4,No,2,1,2025-05-08,True,0
PH14970642327321265947,Motorcycle Loan,2025-02-22,595,25500,Cubao QC,24,3,16.04,136065,Male,DIRECT,44,24,Quezon City,Metro Manila,19885,Mio i 125,Retail,Trading,Married,Yamaha,Sari-sari Store Owner,Living with Parents,4,No,0,1,2025-07-28,True,0
PH15721701904713360825,Motorcycle Loan,2025-12-04,587,7500,Quiapo Manila,25,25,15.52,48525,Female,DIRECT,29,36,Manila,Metro Manila,12802,Click 125i,Transport,Services,Single,Honda,Tricycle/Jeepney Driver,Rented,2,Yes,2,19,2026-05-25,True,0
PH16436206816912992352,Motorcycle Loan,2025-06-08,604,6000,Cubao QC,4,4,23.66,47921,Male,DEALER,47,36,Quezon City,Metro Manila,15856,Rouser NS200,Transport,Services,Single,Kawasaki,Tricycle/Jeepney Driver,Living with Parents,20,No,3,5,2025-12-28,True,0
PH11178468079988969241,Motorcycle Loan,2025-07-12,603,10000,Caloocan,5,0,17.14,62431,Male,DIRECT,44,12,Caloocan,Metro Manila,21769,Click 125i,BPO,Services,Single,Honda,Other Self Employed,Owned,1,No,5,0,2025-12-22,True,0
PH14565683908639761086,Motorcycle Loan,2024-06-18,578,15000,Quiapo Manila,30,21,21.46,147320,Male,DEALER,52,18,Manila,Metro Manila,12269,Mio Aerox,Transport,Services,Married,Yamaha,Tricycle/Jeepney Driver,Owned,13,No,5,5,2024-12-22,True,0
PH15202775618214049354,Motorcycle Loan,2026-04-13,627,11500,Cebu City,11,3,14.75,88356,Male,DEALER,54,24,Cebu City,Cebu,21981,Beat 110,Retail,Trading,Married,Honda,Sari-sari Store Owner,Owned,3,No,0,126,2026-08-02,False,1
PH10663496533191343213,Motorcycle Loan,2024-07-04,597,19500,General Santos,14,2,12.79,106342,Male,ONLINE,30,36,General Santos,South Cotabato,14546,Click 125i,Construction,Services,Married,Honda,Construction Worker,Owned,3,No,3,8,2025-01-07,True,0
PH18975213308976523161,Motorcycle Loan,2025-08-16,-1,19000,Iloilo,12,7,24.52,136066,Male,DEALER,32,36,Iloilo City,Iloilo,12789,NMAX 155,Transport,Services,Married,Yamaha,Tricycle/Jeepney Driver,Living with Parents,0,No,3,144,2025-12-17,True,1
PH12897056710301235783,Motorcycle Loan,2025-12-29,753,25500,Cubao QC,15,12,20.04,157798,Male,DEALER,50,24,Quezon City,Metro Manila,12943,CT100,Transport,Services,Married,Kawasaki,Tricycle/Jeepney Driver,Living with Parents,3,No,5,16,2026-05-11,True,0
PH19502918451757706171,Motorcycle Loan,2024-07-15,765,14000,Cagayan de Oro,7,7,22.07,96974,Male,DEALER,55,12,Cagayan de Oro,Misamis Oriental,16260,Beat 110,Transport,Services,Married,Honda,Tricycle/Jeepney Driver,Living with Parents,19,No,3,0,2025-01-25,True,0
PH16161246565040634073,Motorcycle Loan,2024-10-16,676,16500,Cebu City,14,5,16.08,88117,Female,DEALER,44,24,Cebu City,Cebu,10538,DLX 110,Retail,Trading,Single,Rusi,Sari-sari Store Owner,Rented,8,No,5,4,2025-02-23,True,0
PH16385667322972714464,Motorcycle Loan,2025-06-18,-1,12500,Cubao QC,17,5,21.86,86088,Male,DIRECT,22,36,Quezon City,Metro Manila,9782,TMX 125 Alpha,Transport,Services,Married,Honda,Tricycle/Jeepney Driver,Living with Parents,4,Yes,3,147,2025-10-02,True,1
PH18988316340956291960,Motorcycle Loan,2025-03-13,-1,16000,Cubao QC,16,10,17.55,121390,Male,DEALER,43,36,Quezon City,Metro Manila,8951,Rouser NS200,Transport,Services,Widowed/Separated,Kawasaki,Tricycle/Jeepney Driver,Rented,16,No,4,11,2025-08-10,True,0
PH12915435521873527216,Motorcycle Loan,2025-02-17,673,8500,Iloilo,7,6,22.0,58345,Male,DIRECT,36,18,Iloilo City,Iloilo,19222,NMAX 155,Retail,Trading,Single,Yamaha,Sari-sari Store Owner,Owned,7,Yes,2,11,2025-09-13,True,0
PH13663021240413589591,Motorcycle Loan,2026-02-07,653,21500,Cubao QC,26,4,19.29,146171,Female,DIRECT,25,24,Quezon City,Metro Manila,9136,Raider R150,Transport,Services,Live-in,Suzuki,Tricycle/Jeepney Driver,Living with Parents,1,No,3,9,2026-07-16,False,0
PH10126843165678944326,Motorcycle Loan,2025-07-31,-1,11000,Cubao QC,4,2,20.7,69868,Male,DEALER,58,24,Quezon City,Metro Manila,15386,TMX 125 Alpha,Transport,Services,Live-in,Honda,Tricycle/Jeepney Driver,Living with Parents,19,Yes,6,2,2026-02-09,True,0
PH18636529204757617347,Motorcycle Loan,2026-01-27,694,12000,Cubao QC,7,3,22.31,98537,Male,DEALER,42,24,Quezon City,Metro Manila,18380,Smash 115,Construction,Services,Single,Suzuki,Construction Worker,Rented,16,Yes,0,21,2026-07-21,False,0
PH18952688017026741289,Motorcycle Loan,2026-03-14,-1,7000,Cubao QC,30,8,17.51,57766,Female,DIRECT,32,24,Quezon City,Metro Manila,42055,Rouser NS200,Remittance-dependent,Services,Widowed/Separated,Kawasaki,OFW Dependent,Living with Parents,4,No,2,133,2026-08-09,False,1
PH17202478837424150548,Motorcycle Loan,2026-05-13,-1,12500,Caloocan,20,6,15.26,97961,Male,ONLINE,46,24,Caloocan,Metro Manila,17278,Sniper 150,Retail,Trading,Single,Yamaha,Sari-sari Store Owner,Living with Parents,8,No,2,1,2026-11-26,False,0
PH10672131149478102547,Motorcycle Loan,2025-11-30,-1,7500,Davao,30,13,17.86,50233,Male,DIRECT,49,36,Davao City,Davao del Sur,9550,Beat 110,Government,Services,Live-in,Honda,Other Self Employed,Living with Parents,13,No,5,2,2026-03-31,True,0
PH13176911105500553285,Motorcycle Loan,2025-12-22,652,9500,Quiapo Manila,11,0,17.04,81000,Male,ONLINE,34,24,Manila,Metro Manila,15162,Uno 100,Transport,Services,Single,Rusi,Tricycle/Jeepney Driver,Rented,12,No,3,26,2026-06-25,False,0
PH15397238451876844848,Motorcycle Loan,2024-10-31,646,18000,Cubao QC,17,17,20.52,130384,Female,DEALER,52,24,Quezon City,Metro Manila,13718,Mio Aerox,Retail,Trading,Live-in,Yamaha,Sari-sari Store Owner,Owned,17,No,3,11,2025-04-24,True,0
PH13354662866192253305,Motorcycle Loan,2025-03-25,737,16000,Cubao QC,4,1,14.32,84219,Female,DEALER,36,36,Quezon City,Metro Manila,30855,Mio Aerox,Retail,Trading,Single,Yamaha,Employed,Owned,4,No,3,2,2025-09-22,True,0
PH14211200697560084653,Motorcycle Loan,2026-05-28,559,5000,Iloilo,9,3,24.71,46365,Male,DIRECT,54,18,Iloilo City,Iloilo,17171,Skydrive 125,Transport,Services,Live-in,Suzuki,Tricycle/Jeepney Driver,Living with Parents,20,No,0,9,2026-11-19,False,0
PH13108185515269384920,Motorcycle Loan,2024-11-26,750,9000,General Santos,23,19,17.52,47894,Female,DEALER,46,24,General Santos,South Cotabato,14414,Sniper 150,Retail,Trading,Live-in,Yamaha,Sari-sari Store Owner,Owned,7,Yes,3,4,2025-05-27,True,0
PH18811496223227669185,Motorcycle Loan,2024-11-25,576,16000,Cubao QC,24,1,19.51,150708,Male,DEALER,37,12,Quezon City,Metro Manila,21699,Raider R150,Retail,Trading,Married,Suzuki,Sari-sari Store Owner,Living with Parents,17,No,3,11,2025-05-09,True,0
PH19278840940897611388,Motorcycle Loan,2026-04-30,613,11000,Quiapo Manila,17,13,18.05,69016,Female,DIRECT,27,24,Manila,Metro Manila,13383,Mio i 125,Transport,Services,Single,Yamaha,Tricycle/Jeepney Driver,Owned,3,No,0,28,2026-09-15,False,0
PH10262461234883831906,Motorcycle Loan,2025-11-29,666,6000,Cubao QC,10,6,16.76,46142,Male,DIRECT,56,24,Quezon City,Metro Manila,11874,ADV 160,Retail,Trading,Married,Honda,Sari-sari Store Owner,Owned,0,No,0,6,2026-04-10,True,0
PH13951290681624573127,Motorcycle Loan,2024-10-17,592,7500,Davao,29,20,23.35,54321,Male,DEALER,26,36,Davao City,Davao del Sur,15876,Sniper 150,Transport,Services,Single,Yamaha,Tricycle/Jeepney Driver,Living with Parents,5,No,2,4,2025-03-13,True,0
PH18671996025448521893,Motorcycle Loan,2026-03-07,724,22500,Quiapo Manila,22,10,14.99,114904,Female,DEALER,55,18,Manila,Metro Manila,22327,Storm 200,Retail,Trading,Married,Rusi,Other Self Employed,Owned,3,No,0,0,2026-07-30,False,0
PH15136817571068813061,Motorcycle Loan,2026-01-10,-1,18500,Iloilo,4,4,18.74,101417,Male,DEALER,37,24,Iloilo City,Iloilo,34865,Mio Aerox,Remittance-dependent,Services,Married,Yamaha,OFW Dependent,Living with Parents,12,Yes,5,185,2026-05-31,True,1
PH10861012274825370368,Motorcycle Loan,2025-11-05,664,13000,Caloocan,8,0,19.23,69946,Male,DEALER,33,24,Caloocan,Metro Manila,24963,Raider R150,Retail,Trading,Married,Suzuki,Sari-sari Store Owner,Rented,5,No,0,9,2026-05-12,True,0
PH17513023724031342514,Motorcycle Loan,2026-02-24,-1,16500,Quiapo Manila,15,15,21.05,147031,Male,DEALER,25,24,Manila,Metro Manila,13542,Raider R150,Transport,Services,Married,Suzuki,Tricycle/Jeepney Driver,Rented,5,No,0,127,2026-06-19,False,1
PH19674252812697444385,Motorcycle Loan,2024-12-04,-1,14000,Caloocan,9,2,21.28,86049,Female,DEALER,40,36,Caloocan,Metro Manila,18568,TMX 125 Alpha,Construction,Services,Widowed/Separated,Honda,Construction Worker,Owned,2,No,2,16,2025-04-14,True,0
PH19068417864753057266,Motorcycle Loan,2024-10-12,678,9500,Davao,1,1,18.27,91524,Male,DIRECT,42,36,Davao City,Davao del Sur,17575,Flash 115,Transport,Services,Live-in,Rusi,Tricycle/Jeepney Driver,Living with Parents,8,No,4,5,2025-03-06,True,0
PH16133732924564634585,Motorcycle Loan,2025-08-07,-1,14000,Caloocan,25,2,18.37,98242,Male,DEALER,36,36,Caloocan,Metro Manila,13357,Mio i 125,Retail,Trading,Single,Yamaha,Sari-sari Store Owner,Owned,9,Yes,6,2,2026-01-22,True,0
PH16324508520819552517,Motorcycle Loan,2025-09-02,-1,14000,Caloocan,17,17,12.74,76363,Female,DEALER,24,36,Caloocan,Metro Manila,22794,Mio i 125,Manufacturing,Manufacturing,Live-in,Yamaha,Employed,Living with Parents,1,No,5,30,2026-03-05,True,0
PH18208994825647955671,Motorcycle Loan,2024-09-14,-1,13500,Iloilo,18,16,17.9,85181,Male,DIRECT,30,24,Iloilo City,Iloilo,11973,TMX 125 Alpha,Transport,Services,Single,Honda,Tricycle/Jeepney Driver,Rented,12,No,0,142,2024-12-29,True,1
PH17699629244889445755,Motorcycle Loan,2025-06-01,-1,11000,Caloocan,5,4,13.74,61622,Female,DEALER,18,24,Caloocan,Metro Manila,11917,Mio Aerox,Transport,Services,Married,Yamaha,Tricycle/Jeepney Driver,Rented,0,No,3,174,2025-10-06,True,1
PH14978656625580609365,Motorcycle Loan,2025-08-12,652,9000,General Santos,0,0,12.79,49650,Female,ONLINE,43,24,General Santos,South Cotabato,11145,Beat 110,Transport,Services,Married,Honda,Tricycle/Jeepney Driver,Rented,3,No,6,5,2026-01-02,True,0
PH17682908807905825246,Motorcycle Loan,2026-03-29,-1,10000,Quiapo Manila,12,6,13.73,89391,Female,DEALER,39,18,Manila,Metro Manila,16728,Beat 110,Retail,Trading,Married,Honda,Sari-sari Store Owner,Living with Parents,16,No,0,0,2026-08-09,False,0
PH11131356539234320245,Motorcycle Loan,2026-05-26,585,16500,Cebu City,12,1,23.73,95505,Male,DEALER,22,36,Cebu City,Cebu,17606,Sniper 150,Remittance-dependent,Services,Live-in,Yamaha,OFW Dependent,Owned,1,Yes,4,119,2026-09-13,False,1
PH15880306217865958441,Motorcycle Loan,2024-11-16,701,6500,General Santos,14,9,16.36,50775,Female,DEALER,46,18,General Santos,South Cotabato,58702,TMX 125,Retail,Trading,Single,TMX,Employed,Living with Parents,14,No,2,11,2025-05-19,True,0
PH13051947348115528027,Motorcycle Loan,2025-02-24,-1,12000,Quiapo Manila,2,1,24.34,109102,Male,DEALER,23,24,Manila,Metro Manila,36318,Beat 110,Retail,Trading,Single,Honda,Employed,Owned,4,No,2,0,2025-07-12,True,0
PH11130594981889899347,Motorcycle Loan,2024-06-19,586,7000,Caloocan,24,7,22.89,52315,Female,DEALER,25,24,Caloocan,Metro Manila,12352,Smash 115,Transport,Services,Married,Suzuki,Tricycle/Jeepney Driver,Owned,7,No,4,0,2025-01-15,True,0
PH11143186771429885374,Motorcycle Loan,2025-01-25,601,24000,General Santos,21,20,14.19,147742,Male,DIRECT,23,24,General Santos,South Cotabato,13953,TMX 125,Government,Services,Single,TMX,Other Self Employed,Living with Parents,2,Yes,0,9,2025-08-09,True,0
PH12841800627660011486,Motorcycle Loan,2025-06-28,699,17000,Quiapo Manila,26,11,15.05,150694,Male,DEALER,47,18,Manila,Metro Manila,17732,NMAX 155,Transport,Services,Live-in,Yamaha,Tricycle/Jeepney Driver,Owned,0,Yes,0,145,2025-11-21,True,1
PH16024955458008786958,Motorcycle Loan,2024-11-11,678,9500,Cagayan de Oro,19,18,21.04,77054,Male,DIRECT,49,24,Cagayan de Oro,Misamis Oriental,24780,Mio i 125,Manufacturing,Manufacturing,Single,Yamaha,Other Self Employed,Owned,12,No,3,152,2025-04-06,True,1
PH15898345591386856838,Motorcycle Loan,2025-07-07,726,15000,Iloilo,7,4,17.45,78065,Male,DIRECT,34,36,Iloilo City,Iloilo,14646,Mio i 125,Transport,Services,Married,Yamaha,Tricycle/Jeepney Driver,Living with Parents,12,No,6,5,2026-01-15,True,0
PH16980604027300773391,Motorcycle Loan,2026-02-13,-1,24500,Cagayan de Oro,30,15,19.4,144195,Female,DEALER,45,24,Cagayan de Oro,Misamis Oriental,20498,Mio i 125,Construction,Services,Single,Yamaha,Construction Worker,Owned,11,No,1,9,2026-08-01,False,0
PH17286922449488569785,Motorcycle Loan,2025-04-28,-1,9500,Cubao QC,28,24,18.21,68363,Male,ONLINE,29,24,Quezon City,Metro Manila,21782,Click 125i,Retail,Trading,Married,Honda,Sari-sari Store Owner,Owned,0,No,6,3,2025-10-16,True,0
PH16089819811722695658,Motorcycle Loan,2026-02-16,-1,12000,Davao,3,0,20.86,67904,Female,DEALER,51,36,Davao City,Davao del Sur,11526,Mio i 125,Retail,Trading,Married,Yamaha,Sari-sari Store Owner,Living with Parents,14,No,5,3,2026-06-29,False,0
PH10985598198222096961,Motorcycle Loan,2026-03-06,613,9000,Quiapo Manila,16,14,15.74,56972,Male,DEALER,32,36,Manila,Metro Manila,43725,Click 125i,Remittance-dependent,Services,Married,Honda,OFW Dependent,Living with Parents,2,No,3,2,2026-07-06,False,0
PH16840084120552260424,Motorcycle Loan,2025-12-29,619,6000,Cubao QC,10,3,17.83,57425,Female,DEALER,47,24,Quezon City,Metro Manila,14482,Flash 115,Transport,Services,Widowed/Separated,Rusi,Tricycle/Jeepney Driver,Owned,1,No,2,0,2026-06-12,False,0
PH16474842149945140222,Motorcycle Loan,2026-04-19,719,18000,General Santos,4,1,22.17,100148,Male,DIRECT,49,18,General Santos,South Cotabato,13601,TMX 125 Alpha,Construction,Services,Married,Honda,Construction Worker,Living with Parents,11,No,3,2,2026-09-03,False,0
PH17848861747164395458,Motorcycle Loan,2025-08-06,-1,10000,Davao,5,5,18.79,90916,Female,DIRECT,39,18,Davao City,Davao del Sur,43728,Smash 115,Manufacturing,Manufacturing,Single,Suzuki,Employed,Living with Parents,10,No,1,173,2025-12-19,True,1
PH16779806975936215159,Motorcycle Loan,2024-09-29,-1,18500,Cubao QC,11,4,24.86,127684,Male,DEALER,23,36,Quezon City,Metro Manila,17663,NMAX 155,Transport,Services,Widowed/Separated,Yamaha,Tricycle/Jeepney Driver,Owned,4,No,1,132,2025-01-09,True,1
PH17842372163707410588,Motorcycle Loan,2024-11-15,762,14000,Caloocan,21,9,22.69,125805,Female,DEALER,32,24,Caloocan,Metro Manila,17382,Sniper 150,Transport,Services,Single,Yamaha,Tricycle/Jeepney Driver,Living with Parents,3,Yes,4,4,2025-06-01,True,0
PH13959295605906949308,Motorcycle Loan,2025-11-20,631,15500,Cagayan de Oro,5,5,18.35,117049,Male,DIRECT,39,24,Cagayan de Oro,Misamis Oriental,19198,Skydrive 125,Construction,Services,Single,Suzuki,Construction Worker,Living with Parents,17,No,5,5,2026-05-22,True,0
PH15733209205723465167,Motorcycle Loan,2024-12-13,636,16000,Iloilo,28,17,21.69,128155,Male,DEALER,35,18,Iloilo City,Iloilo,21671,Mio Aerox,Construction,Services,Single,Yamaha,Construction Worker,Living with Parents,0,No,6,1,2025-05-26,True,0
PH16305323541125067625,Motorcycle Loan,2025-08-03,590,18000,Iloilo,13,4,12.12,90639,Male,DEALER,44,18,Iloilo City,Iloilo,17916,Storm 200,Transport,Services,Married,Rusi,Tricycle/Jeepney Driver,Owned,2,No,0,5,2026-01-11,True,0
PH18692652704729591814,Motorcycle Loan,2025-04-03,592,10000,Cebu City,3,3,19.15,81913,Male,DEALER,55,36,Cebu City,Cebu,17973,Storm 200,Construction,Services,Married,Rusi,Construction Worker,Owned,3,Yes,2,243,2025-08-19,True,1
PH13093383606170927974,Motorcycle Loan,2024-09-30,586,11000,Caloocan,21,15,19.78,84371,Female,DEALER,40,24,Caloocan,Metro Manila,20296,Storm 200,Retail,Trading,Married,Rusi,Other Self Employed,Living with Parents,18,Yes,2,139,2025-01-10,True,1
PH13410469817614621595,Motorcycle Loan,2025-12-02,688,9000,Cubao QC,9,3,22.43,58310,Male,DEALER,54,18,Quezon City,Metro Manila,16929,TMX 125 Alpha,Construction,Services,Live-in,Honda,Construction Worker,Living with Parents,19,Yes,5,2,2026-05-22,True,0
PH12052381095006133159,Motorcycle Loan,2025-04-25,-1,7000,Davao,9,0,16.76,67945,Male,DIRECT,19,36,Davao City,Davao del Sur,18309,TMX 125,Construction,Services,Single,TMX,Construction Worker,Rented,0,Yes,5,154,2025-08-07,True,1
PH14592674439497480643,Motorcycle Loan,2024-06-25,729,12500,Quiapo Manila,5,3,16.86,89881,Male,DEALER,56,24,Manila,Metro Manila,11083,Barako II 175,Retail,Trading,Widowed/Separated,Kawasaki,Sari-sari Store Owner,Living with Parents,16,No,5,25,2024-12-04,True,0
PH11316818870493679712,Motorcycle Loan,2025-01-20,735,9500,Iloilo,5,1,18.39,93308,Male,DEALER,22,12,Iloilo City,Iloilo,11845,Raider R150,Transport,Services,Single,Suzuki,Tricycle/Jeepney Driver,Living with Parents,3,No,6,6,2025-07-06,True,0
PH18913253889822385876,Motorcycle Loan,2024-10-02,-1,12500,General Santos,10,9,24.83,90192,Male,DEALER,55,24,General Santos,South Cotabato,35628,ADV 160,BPO,Services,Married,Honda,Employed,Living with Parents,0,No,4,1,2025-03-14,True,0
PH18218789200231723595,Motorcycle Loan,2026-03-28,-1,17500,Quiapo Manila,11,3,24.38,146738,Male,DIRECT,31,24,Manila,Metro Manila,14630,Mio i 125,Transport,Services,Widowed/Separated,Yamaha,Tricycle/Jeepney Driver,Living with Parents,3,No,4,155,2026-08-07,False,1
PH14984193764346476687,Motorcycle Loan,2026-06-02,-1,17000,Quiapo Manila,25,12,12.85,96178,Male,DEALER,24,12,Manila,Metro Manila,15087,Sniper 150,Transport,Services,Widowed/Separated,Yamaha,Tricycle/Jeepney Driver,Rented,1,No,0,172,2026-10-02,False,1
PH18369892257037517006,Motorcycle Loan,2026-05-29,551,9000,Davao,12,9,14.02,83095,Male,DIRECT,22,24,Davao City,Davao del Sur,11005,Mio Aerox,Transport,Services,Married,Yamaha,Tricycle/Jeepney Driver,Owned,4,No,2,20,2026-11-06,False,0
PH17933037453497829304,Motorcycle Loan,2024-07-27,681,21000,Quiapo Manila,3,0,12.91,141869,Male,DEALER,57,12,Manila,Metro Manila,19824,Storm 200,Construction,Services,Married,Rusi,Construction Worker,Living with Parents,3,Yes,2,12,2025-01-03,True,0
PH13612358356352493656,Motorcycle Loan,2026-03-31,611,14500,Quiapo Manila,8,2,15.1,82461,Male,DEALER,55,24,Manila,Metro Manila,12638,Sniper 150,Construction,Services,Live-in,Yamaha,Construction Worker,Rented,0,Yes,0,1,2026-09-11,False,0
PH12038062750947236568,Motorcycle Loan,2025-03-09,-1,16500,Caloocan,13,10,19.45,138094,Male,DEALER,33,24,Caloocan,Metro Manila,22235,Click 125i,Remittance-dependent,Services,Single,Honda,OFW Dependent,Owned,15,No,4,171,2025-07-05,True,1
PH15759396671527331550,Motorcycle Loan,2025-09-08,592,26500,General Santos,1,0,13.0,144103,Male,DIRECT,54,24,General Santos,South Cotabato,20615,Uno 100,Retail,Trading,Live-in,Rusi,Sari-sari Store Owner,Owned,2,No,1,129,2026-01-01,True,1
PH14862396532198260701,Motorcycle Loan,2025-08-05,-1,14000,Quiapo Manila,6,0,20.11,77084,Male,DEALER,50,36,Manila,Metro Manila,15552,Smash 115,Manufacturing,Manufacturing,Married,Suzuki,Other Self Employed,Owned,15,Yes,4,0,2026-02-16,True,0
